Contrast,Dissimilarity,Energy,ASM,Correlation
[837.08651291],[19.02142722],[0.01575833],[0.00024895],[0.83337567]
[55.10454039],[5.04960038],[0.12434878],[0.01549232],[0.96404343]
[783.43485553],[18.12141574],[0.0159115],[0.00025362],[0.84462075]
[55.79889415],[5.11175245],[0.12157546],[0.0148025],[0.96295981]
[754.84452332],[17.93829176],[0.01601702],[0.00025754],[0.85624438]
[51.34882172],[4.99243618],[0.08248523],[0.00682063],[0.96412714]
[771.68363906],[18.21559544],[0.01549813],[0.00024082],[0.84394249]
[52.50112763],[5.147868],[0.07453294],[0.00556728],[0.95969954]
[788.6992763],[18.25248141],[0.01678628],[0.00028284],[0.84740887]
[47.95049559],[4.68309428],[0.16192228],[0.02624829],[0.96660706]
[842.20403764],[19.19436195],[0.01658006],[0.00027596],[0.83661958]
[49.80280442],[4.84574191],[0.15008039],[0.02254357],[0.96492617]
[743.84797464],[17.84865002],[0.01729849],[0.00030072],[0.85695173]
[49.64536281],[4.86487758],[0.15137764],[0.02293907],[0.96460564]
[755.0334038],[18.13857103],[0.01563011],[0.00024537],[0.85383692]
[51.13050427],[4.9094852],[0.15564389],[0.02424859],[0.96391211]
[619.99312585],[16.76356351],[0.016573],[0.00027511],[0.79928953]
[44.93519046],[4.63053168],[0.07443864],[0.00558496],[0.96667969]
[661.89693887],[17.04078651],[0.01672594],[0.00028024],[0.78422474]
[44.49292255],[4.58529165],[0.07408924],[0.00553537],[0.96689498]
[787.43315817],[18.48063334],[0.01541306],[0.00023803],[0.84337793]
[45.59502249],[4.60434438],[0.08031276],[0.00649908],[0.9664954]
[783.23323108],[18.34180264],[0.01526932],[0.00023385],[0.84832729]
[44.03166039],[4.50721635],[0.08495695],[0.00728356],[0.96811573]
[844.86637949],[19.21802328],[0.01521861],[0.00023212],[0.83349564]
[45.54668959],[4.59383068],[0.08425118],[0.00716732],[0.96656601]
[372.38843818],[13.04608528],[0.01916762],[0.00036811],[0.72997608]
[326.1629665],[11.89915954],[0.02108032],[0.00044519],[0.73906381]
[402.43171027],[13.49746431],[0.01834973],[0.00033719],[0.71707362]
[356.07038795],[12.71350475],[0.01850659],[0.00034306],[0.72983307]
[344.33367534],[12.48497209],[0.01843892],[0.00034054],[0.77033949]
[354.33129957],[12.57829461],[0.0210294],[0.00044303],[0.75979469]
[305.24626672],[11.54565415],[0.02206604],[0.00048754],[0.72670539]
[342.91400429],[12.33200589],[0.01935684],[0.00037506],[0.68811198]
[300.49485189],[11.5440416],[0.02156124],[0.00046615],[0.74497043]
[280.38759378],[11.37887266],[0.02032037],[0.00041392],[0.75175891]
[318.0807306],[11.96551713],[0.02134277],[0.00045611],[0.73411986]
[995.87883603],[21.994288],[0.01167706],[0.0001371],[0.86323436]
[1061.16454664],[21.995265],[0.01420303],[0.00020486],[0.8397575]
[1050.1040143],[21.5556012],[0.01292901],[0.00016761],[0.85756039]
[1034.16770619],[21.58671989],[0.01273548],[0.0001628],[0.86539486]
[1126.01898211],[22.77289731],[0.01171904],[0.00013769],[0.85948802]
[997.69032081],[21.82870555],[0.01184947],[0.00014081],[0.87624427]
[1011.00025436],[21.57069849],[0.01210825],[0.00014721],[0.89976437]
[942.06033033],[21.42927646],[0.01142318],[0.00013088],[0.88994311]
[773.55957981],[19.35486439],[0.01502549],[0.00022638],[0.86509109]
[812.86108589],[19.56350359],[0.01444402],[0.00020896],[0.84100283]
[900.45274245],[20.54988783],[0.01627952],[0.00026541],[0.88018823]
[978.61041778],[21.46434373],[0.01428155],[0.00020509],[0.89878315]
[882.02188461],[20.9298047],[0.01148025],[0.00013224],[0.88348175]
[932.08315863],[19.76250588],[0.01572558],[0.00024772],[0.78205746]
[843.50413611],[18.66906061],[0.01566982],[0.00024602],[0.80880006]
[627.41182691],[15.70435035],[0.01858344],[0.00034595],[0.77186787]
[761.10756631],[17.83180521],[0.01550502],[0.00024066],[0.82728687]
[936.67709559],[19.50830761],[0.01472471],[0.00021707],[0.79577886]
[857.3539782],[19.05985915],[0.01540772],[0.00023756],[0.76551032]
[881.90300074],[18.77108682],[0.01508895],[0.00022794],[0.78856774]
