Contrast,Dissimilarity,Energy,ASM,Correlation,Deepfake
[71.54282755],[4.89990153],[0.02181752],[0.00048001],[0.98583395],0
[37.51411786],[3.66218942],[0.03715045],[0.00138907],[0.9853224],0
[87.16305621],[4.64230845],[0.06681881],[0.004492],[0.97432866],0
[85.88283248],[4.74423411],[0.06455015],[0.00418811],[0.96739113],0
[71.72052039],[4.28212914],[0.07313825],[0.00539428],[0.97619188],0
[54.73779058],[4.31726505],[0.06016491],[0.0036387],[0.97789645],0
[102.41028037],[5.47515648],[0.0478531],[0.00230691],[0.96448995],0
[113.192689],[5.37723406],[0.07204094],[0.00522932],[0.95874417],0
[136.56910047],[6.00846265],[0.05272726],[0.00279959],[0.94840285],0
[114.04234354],[5.52018552],[0.06056948],[0.00368678],[0.96214732],0
[66.63248894],[4.74619159],[0.02251065],[0.00051133],[0.98695728],0
[76.61966254],[4.48096221],[0.03396061],[0.00116217],[0.94082291],0
[82.08107715],[4.28868045],[0.03008812],[0.0009173],[0.98923404],0
[106.87800761],[5.21883997],[0.06567913],[0.00433437],[0.9626209],0
[83.90168512],[4.91205973],[0.05913815],[0.00352015],[0.96591313],0
[10.69329955],[1.98825473],[0.05643061],[0.00321105],[0.99071533],0
[74.32122724],[4.73573779],[0.047168],[0.0022397],[0.96526018],0
[80.28141723],[4.57746782],[0.06345039],[0.00405445],[0.97073309],0
[75.52374883],[4.71597513],[0.06255446],[0.00392849],[0.96988254],0
[84.96454198],[4.67101063],[0.07157863],[0.00514792],[0.96760112],0
[109.36314284],[5.3730585],[0.05683173],[0.00325176],[0.96135734],0
[95.95571302],[5.30616025],[0.06376997],[0.00408463],[0.96262879],0
[78.83514155],[4.84021587],[0.06149749],[0.0037999],[0.9688594],0
[41.97687238],[3.889257],[0.02679038],[0.00072464],[0.98784638],0
[84.83278906],[4.8820886],[0.05574135],[0.00313297],[0.96795321],0
[139.56431798],[5.88837737],[0.06120186],[0.00378909],[0.94722022],0
[138.6094353],[5.70064451],[0.06467238],[0.00422459],[0.94004047],0
[114.28740388],[5.25630524],[0.07700592],[0.00594842],[0.9626108],0
[97.17198362],[4.73784325],[0.07616926],[0.00582679],[0.96406908],0
[81.09749689],[4.52838613],[0.07695686],[0.00594802],[0.9685319],0
[79.26408384],[4.83337188],[0.05365514],[0.00289348],[0.96991786],0
[91.61401581],[5.02791313],[0.07512245],[0.00567191],[0.97416826],0
[96.57589917],[5.33722945],[0.05682845],[0.00324625],[0.97372262],0
[42.66602216],[3.94785729],[0.02629387],[0.00069835],[0.98781198],0
[83.90499353],[4.99207997],[0.05449341],[0.00298529],[0.97183821],0
[72.10637235],[4.63281274],[0.07886548],[0.00624113],[0.97258428],0
[64.07287497],[4.32323753],[0.06076396],[0.00371373],[0.97183136],0
[88.48238761],[4.8691376],[0.06382432],[0.0041091],[0.96983201],0
[86.75604017],[4.81041428],[0.05687418],[0.00326056],[0.96950793],0
[79.9152072],[5.03741623],[0.04992216],[0.00251085],[0.97096855],0
[91.81920558],[5.29770704],[0.05243626],[0.0027658],[0.9674008],0
[89.63369104],[4.92431129],[0.05430715],[0.00296853],[0.96757785],0
[38.39228435],[3.81916174],[0.02646133],[0.00070678],[0.98974791],0
[106.50966778],[4.97267793],[0.08344443],[0.00699067],[0.95376698],0
[86.83848822],[4.83226714],[0.0606063],[0.00369127],[0.9704525],0
[88.02501729],[4.49716519],[0.07564884],[0.00576959],[0.96789661],0
[85.97142666],[5.19402963],[0.05633675],[0.00318915],[0.96520312],0
[87.14104132],[5.25368174],[0.05311517],[0.00283803],[0.96736431],0
[104.61479698],[5.51604508],[0.05969611],[0.00358129],[0.96131744],0
[90.56226471],[5.04204904],[0.05241104],[0.00276921],[0.96727853],0
[95.64433375],[5.0886787],[0.04832428],[0.00235162],[0.9670436],0
[100.3810168],[5.38147962],[0.0470944],[0.00223298],[0.96652288],0
[98.74191141],[5.33742478],[0.04985287],[0.00249719],[0.96699241],0
[47.62802081],[4.07300272],[0.03045633],[0.00093655],[0.98633164],0
[37.15620289],[3.68572125],[0.03655813],[0.00134771],[0.99096832],0
[35.90385428],[3.78792179],[0.02974986],[0.00089149],[0.98866223],0
[33.259347],[3.63238794],[0.03087504],[0.00096195],[0.99109594],0
[37.85913584],[3.93619618],[0.02886305],[0.0008418],[0.98729985],0
[51.67819066],[4.39422839],[0.03225513],[0.0010507],[0.98368655],0
[48.63710758],[4.30257477],[0.02545263],[0.00065505],[0.98039252],0
[53.11968979],[4.41895906],[0.02713605],[0.00074296],[0.98238495],0
[56.77032151],[4.64609021],[0.0284538],[0.00081646],[0.9830322],0
[60.90206499],[4.80022422],[0.02651543],[0.00070929],[0.98241863],0
[54.78046265],[4.45338729],[0.0264343],[0.00070475],[0.98926207],0
[41.6312476],[3.90345261],[0.02731727],[0.00075375],[0.98918054],0
[54.39804382],[4.42331323],[0.02721974],[0.00074689],[0.98548904],0
[56.92865251],[4.70755401],[0.02486271],[0.0006236],[0.98281148],0
[63.38150251],[4.87418504],[0.02469264],[0.00061501],[0.98181734],0
[62.18215891],[4.81984423],[0.0247358],[0.00061716],[0.98128024],0
[61.73984167],[4.74852483],[0.02585748],[0.00067336],[0.97995238],0
[64.23096245],[4.87691825],[0.02443249],[0.00060247],[0.9810762],0
[59.50288543],[4.72315637],[0.02543737],[0.00065201],[0.98403608],0
