Contrast,Dissimilarity,Energy,ASM,Correlation
[1186.49353514],[25.45786248],[0.01183682],[0.00014026],[0.69691395]
[164.64165122],[8.94856842],[0.12800533],[0.01643696],[0.8926146]
[1198.00738547],[25.50314904],[0.01196709],[0.00014329],[0.69898842]
[166.73688589],[9.09296084],[0.1121645],[0.0126132],[0.8908851]
[916.9983291],[22.73820945],[0.01327228],[0.00017623],[0.60549978]
[150.83484897],[8.84999344],[0.08717121],[0.00765336],[0.89266119]
[1225.29611662],[25.86965993],[0.01184607],[0.00014058],[0.69698386]
[158.63022062],[9.28726099],[0.07832641],[0.00621772],[0.8752571]
[1220.19663093],[25.59092367],[0.01233249],[0.0001523],[0.70220343]
[150.21355753],[8.91551012],[0.07680603],[0.00600079],[0.87980091]
[1175.74452598],[25.1472215],[0.01230992],[0.00015182],[0.71183182]
[148.80001391],[8.51997427],[0.11397715],[0.01312076],[0.89385845]
[1186.38012649],[25.47050211],[0.01205817],[0.00014549],[0.70982575]
[149.42857088],[8.60395561],[0.11200435],[0.01266516],[0.89329891]
[1149.5727593],[24.8294022],[0.01194758],[0.00014297],[0.7016615]
[147.65498208],[8.58264099],[0.11026459],[0.01228485],[0.89355258]
[1125.3069968],[24.84250718],[0.01265775],[0.00016091],[0.70280191]
[146.57015105],[8.46295693],[0.09930386],[0.00988383],[0.89413514]
[1121.71389436],[24.55516413],[0.01255303],[0.00015825],[0.7060772]
[144.8136007],[8.41406211],[0.10073765],[0.01022282],[0.89383288]
[1165.08528505],[25.16585166],[0.01149638],[0.00013219],[0.68682516]
[144.95563634],[8.36502672],[0.10646809],[0.01140649],[0.89291365]
[1173.25794666],[24.52513346],[0.01571859],[0.00024734],[0.38930388]
[1025.81170046],[22.79284001],[0.0150362],[0.00022638],[0.40708564]
[1056.09750382],[23.10507597],[0.01549356],[0.00024015],[0.3830799]
[1043.47683607],[23.04108293],[0.01534756],[0.00023573],[0.38659562]
[852.9525323],[21.09847152],[0.01520972],[0.00023157],[0.52579695]
[1250.58664355],[26.12812215],[0.01350534],[0.00018254],[0.47969578]
[880.09465555],[20.5062794],[0.01707754],[0.00029188],[0.35166811]
[910.66111738],[21.16700032],[0.01538872],[0.000237],[0.32628936]
[962.18778636],[21.99173077],[0.0155611],[0.0002424],[0.38224542]
[916.8298944],[21.6463095],[0.01577241],[0.00024898],[0.38974738]
[1049.24078545],[22.88174891],[0.01546026],[0.00023917],[0.36420898]
[943.78101777],[20.94098191],[0.0167282],[0.00028008],[0.3237861]
[924.92117539],[21.36295091],[0.01645666],[0.000271],[0.39877595]
[1934.90087113],[32.08010328],[0.01153991],[0.00013333],[0.71670058]
[1834.17987098],[29.98386929],[0.01258222],[0.00015886],[0.73514633]
[1944.86984955],[31.96638458],[0.01147437],[0.00013297],[0.59704069]
[1853.70828794],[29.76526063],[0.01156945],[0.0001339],[0.7097813]
[1950.70208842],[31.61611496],[0.0118818],[0.00014121],[0.61066948]
[1896.18442284],[32.1523563],[0.01087484],[0.00011827],[0.63254965]
[1737.01888776],[30.01315426],[0.01160284],[0.00013471],[0.70785748]
[1906.64747156],[31.68759185],[0.01127153],[0.0001275],[0.72533897]
[1772.53850686],[30.61693097],[0.01112288],[0.00012392],[0.68496004]
[1752.48039425],[30.45428414],[0.0112892],[0.00012773],[0.68643568]
[1952.68430502],[31.73036128],[0.01003331],[0.00010089],[0.73518763]
[1356.94595101],[26.87410691],[0.0108769],[0.00011838],[0.75700249]
[1732.67839511],[30.09853568],[0.01201402],[0.00014544],[0.73726205]
[2261.87659996],[35.51092642],[0.00967258],[9.37265494e-05],[0.63606832]
[2137.34413423],[34.39080069],[0.00998201],[9.98303729e-05],[0.6651183]
[1610.84858888],[29.4708403],[0.01150591],[0.00013255],[0.60540912]
[2133.98130939],[33.72743954],[0.01009649],[0.00010209],[0.71031876]
[2202.80536696],[34.71832145],[0.00971678],[9.4595023e-05],[0.68273812]
[2232.75531202],[34.19866529],[0.01052122],[0.00011078],[0.57039104]
[2117.95909153],[33.32153105],[0.01053012],[0.00011098],[0.64233476]
[2218.31027006],[34.48617889],[0.00976592],[9.55476524e-05],[0.69472452]
[2116.77197721],[34.06652388],[0.00984802],[9.72453631e-05],[0.7533479]
[1686.75172134],[30.25360902],[0.01078848],[0.00011646],[0.64650425]
[1828.53507584],[31.55949297],[0.01077317],[0.00011615],[0.67207703]
[2252.4866661],[34.88899132],[0.00937982],[8.80306378e-05],[0.61997847]
