Contrast,Dissimilarity,Energy,ASM,Correlation
[553.80469181],[16.07072144],[0.01447716],[0.00021012],[0.86428847]
[52.97029886],[4.95039854],[0.14062945],[0.01979659],[0.96532322]
[560.63169113],[16.07740367],[0.01475167],[0.00021795],[0.86503502]
[53.47650262],[5.02900905],[0.12599787],[0.01589513],[0.96485819]
[395.44648618],[14.1246519],[0.01569742],[0.00024667],[0.83911906]
[49.29471234],[4.95009311],[0.099538],[0.00993134],[0.9650111]
[577.22162504],[16.35129113],[0.01462273],[0.00021426],[0.8632148]
[50.92059529],[5.11811519],[0.0910443],[0.0083184],[0.96023707]
[563.05841645],[15.99728423],[0.01532489],[0.00023533],[0.86825216]
[48.20730613],[4.90044332],[0.09119406],[0.00835902],[0.9616839]
[550.038514],[15.86813226],[0.01503993],[0.00022663],[0.87054617]
[48.26182574],[4.74216091],[0.12808043],[0.01645599],[0.96546663]
[526.66070443],[15.83533763],[0.0146684],[0.00021558],[0.87648483]
[48.54781049],[4.79330632],[0.12828462],[0.01650253],[0.96523638]
[531.77966589],[15.64487904],[0.01460493],[0.00021372],[0.86750718]
[48.12441323],[4.77789545],[0.12646175],[0.01604205],[0.96520785]
[520.97287188],[15.58530511],[0.01589927],[0.00025396],[0.86658004]
[47.40239775],[4.67610124],[0.11351139],[0.01290163],[0.9656894]
[514.864808],[15.40278792],[0.01515865],[0.00023089],[0.86978164]
[46.66433466],[4.64962519],[0.11659374],[0.01363632],[0.9657205]
[549.04891585],[15.95560461],[0.0138502],[0.00019197],[0.85799775]
[46.77950077],[4.6281216],[0.12363191],[0.01531972],[0.96535381]
[594.35971051],[16.09355715],[0.01943648],[0.00037937],[0.69352139]
[555.63596711],[15.38501301],[0.01814788],[0.00033052],[0.68730797]
[563.09959599],[15.46958908],[0.01906624],[0.00036417],[0.67274305]
[547.76685476],[15.37313666],[0.018697],[0.00035041],[0.68071827]
[446.3444072],[13.99574289],[0.01860976],[0.00034704],[0.76247371]
[681.51732617],[17.88462247],[0.01618036],[0.00026267],[0.71651325]
[459.21877974],[13.67292322],[0.02088036],[0.00043693],[0.66870564]
[471.06916861],[13.94932341],[0.018542],[0.00034473],[0.65614929]
[506.61690862],[14.60693471],[0.01920467],[0.00036991],[0.68197127]
[469.08731614],[14.218371],[0.01951686],[0.00038204],[0.68997511]
[556.25528188],[15.17788861],[0.01915435],[0.00036781],[0.66987375]
[518.86830794],[14.1195124],[0.02071708],[0.00043028],[0.63124425]
[502.12407359],[14.30706024],[0.0202319],[0.00041026],[0.68002284]
[921.7132768],[20.84554362],[0.01481826],[0.00022047],[0.86881966]
[843.41772505],[18.9105949],[0.01494229],[0.00022524],[0.88251787]
[915.50702621],[20.43514418],[0.01337229],[0.00018098],[0.81072455]
[845.15021632],[18.63519515],[0.01352986],[0.00018345],[0.87451249]
[949.06272285],[20.41359441],[0.01363181],[0.0001862],[0.82077015]
[929.47007928],[20.7734837],[0.01241275],[0.00015431],[0.82893003]
[829.05774775],[19.33004784],[0.01347767],[0.00018198],[0.8697806]
[878.10134391],[20.14884667],[0.01430022],[0.00020549],[0.87512378]
[829.94237426],[19.50164207],[0.01282581],[0.0001651],[0.85826879]
[851.62758649],[19.55182504],[0.0135019],[0.00018302],[0.85340968]
[913.08241188],[20.40900132],[0.01193432],[0.00014308],[0.87910921]
[617.89236742],[17.03326919],[0.01266194],[0.00016055],[0.89530539]
[785.31707806],[19.20089866],[0.01560592],[0.00024475],[0.88351756]
[1059.46098537],[22.66349199],[0.01127576],[0.00012747],[0.83295445]
[991.66059166],[21.82840697],[0.01188602],[0.00014185],[0.84924979]
[683.71511875],[18.2413584],[0.013681],[0.00018754],[0.83917514]
[936.25494976],[21.04619207],[0.01185093],[0.00014077],[0.87719777]
[990.06534833],[21.87358134],[0.01120202],[0.00012576],[0.8619356]
[1037.84989067],[21.78345316],[0.01257924],[0.00015853],[0.80303766]
[930.56639491],[20.56858623],[0.01248031],[0.00015606],[0.84646416]
[981.69951087],[21.58562638],[0.01136553],[0.00012954],[0.86925672]
