Contrast,Dissimilarity,Energy,ASM,Correlation
[86.97928929],[5.17281299],[0.0288676],[0.00083967],[0.98323002]
[3.44859524],[1.19534919],[0.15071508],[0.0227329],[0.99774112]
[84.12752215],[5.01450101],[0.02915084],[0.00085576],[0.98392833]
[3.53229117],[1.22122516],[0.14714585],[0.02166844],[0.99764549]
[81.65130937],[4.93602847],[0.02949949],[0.00087641],[0.98495842]
[3.27637052],[1.20381439],[0.10892395],[0.01188215],[0.99771239]
[89.22939888],[5.10009181],[0.02815785],[0.00079928],[0.98266579]
[3.23587039],[1.22133063],[0.09924348],[0.00986606],[0.99752621]
[94.54759515],[5.09226599],[0.03027898],[0.00092292],[0.98240585]
[3.02842621],[1.12380928],[0.18737483],[0.03512262],[0.997881]
[92.53674573],[5.31604006],[0.0293638],[0.000868],[0.98272705]
[3.09515784],[1.1604447],[0.17373671],[0.03019962],[0.99781213]
[77.62808112],[4.8376798],[0.03080345],[0.00095552],[0.98564076]
[3.09314841],[1.16291429],[0.17392387],[0.03026276],[0.9977872]
[77.91653282],[4.89638205],[0.02835921],[0.00080974],[0.98546594]
[3.18776011],[1.1717137],[0.17955207],[0.03224973],[0.99774105]
[56.85347627],[4.46589727],[0.0304081],[0.00093174],[0.98281405]
[2.80346675],[1.09276805],[0.10451446],[0.01094324],[0.9979138]
[63.06970231],[4.52945236],[0.03103702],[0.00097081],[0.98069191]
[2.77929796],[1.08648049],[0.10420417],[0.01088254],[0.99792509]
[92.60014183],[5.24144762],[0.0276733],[0.00077099],[0.98217732]
[2.85499164],[1.09303869],[0.11141787],[0.0124406],[0.99789352]
[91.30041712],[5.08026461],[0.02776717],[0.00077671],[0.98287161]
[2.7439212],[1.06734243],[0.11568689],[0.01341095],[0.99800298]
[108.95801611],[5.56777328],[0.02768262],[0.00077165],[0.97920812]
[2.81596389],[1.08378675],[0.11626161],[0.01353892],[0.9979236]
[32.38311572],[3.53163435],[0.03512192],[0.00124348],[0.97711146]
[30.47047837],[3.27203051],[0.03854984],[0.00149723],[0.97651097]
[37.3291411],[3.71744763],[0.03365462],[0.00114146],[0.97402735]
[31.05571413],[3.40581067],[0.03434267],[0.00118886],[0.97680436]
[33.08074729],[3.49649639],[0.03329073],[0.00111586],[0.97876736]
[31.91517523],[3.42461984],[0.03737881],[0.00140614],[0.97919156]
[28.2779089],[3.19395443],[0.03928696],[0.00155199],[0.97542929]
[32.14290568],[3.43244336],[0.03469159],[0.00121147],[0.97151239]
[25.18791596],[3.05753575],[0.04013022],[0.0016231],[0.97927605]
[22.37441596],[2.97587239],[0.03768494],[0.00143161],[0.9804876]
[29.41047788],[3.27873633],[0.03823152],[0.00147049],[0.97646326]
[80.37507241],[5.59718059],[0.02051549],[0.00042747],[0.98949772]
[87.55599858],[5.63044305],[0.02445011],[0.00060434],[0.98704549]
[83.0530244],[5.49482711],[0.02304514],[0.00053632],[0.98907992]
[78.5799046],[5.45130544],[0.02233447],[0.00050365],[0.98992567]
[89.07234058],[5.74997796],[0.02070544],[0.00043324],[0.98951517]
[72.81842804],[5.43285919],[0.0210256],[0.00044689],[0.99147024]
[79.62535505],[5.51010239],[0.02070624],[0.00043366],[0.99217157]
[69.39507496],[5.33785975],[0.0200184],[0.00040542],[0.99224633]
[55.37521216],[4.84647389],[0.02653604],[0.00071042],[0.99090982]
[58.65273815],[4.92778863],[0.0256109],[0.00066137],[0.98934722]
[68.17356983],[5.25078178],[0.02567626],[0.00066388],[0.99134005]
[75.61848999],[5.47862376],[0.02320553],[0.00054347],[0.99221696]
[70.60630067],[5.32858855],[0.02011208],[0.00040918],[0.99105491]
[133.03833376],[6.01042765],[0.02813129],[0.00079724],[0.96943574]
[121.76706783],[5.68069512],[0.02759483],[0.00076644],[0.97326439]
[70.61005603],[4.37254421],[0.03368929],[0.00114252],[0.97573215]
[86.9757324],[5.06666818],[0.02788134],[0.00078244],[0.98094069]
[126.35923659],[5.92266804],[0.02597244],[0.00067942],[0.97332797]
[108.18296854],[5.67698674],[0.02694201],[0.00073043],[0.9707545]
[105.51174781],[5.43320625],[0.02691804],[0.00072939],[0.97505178]
[94.7492233],[5.28801213],[0.02662746],[0.00071394],[0.98024588]
[98.83222561],[5.36263255],[0.02664684],[0.00071505],[0.9804106]
[93.84831791],[5.28403831],[0.02691886],[0.00073037],[0.97954334]
[87.07486454],[4.83660679],[0.02989439],[0.00090105],[0.97374724]
[79.58951837],[4.7858173],[0.0298682],[0.00089892],[0.97886836]
[97.94580838],[5.28925686],[0.0267997],[0.00072369],[0.9808773]
[47.81467461],[3.66763477],[0.03364774],[0.00114193],[0.95883994]
[42.288834],[3.45493693],[0.03369644],[0.00114345],[0.96376358]
[47.34619731],[3.57646311],[0.0319275],[0.00102708],[0.96714776]
[33.93364098],[3.13421453],[0.03507801],[0.00123914],[0.97917162]
[31.8703242],[2.92585233],[0.03668766],[0.00135448],[0.98273365]
[52.77430635],[3.54886712],[0.0345232],[0.00120004],[0.96140364]
[35.41223519],[3.0721989],[0.03604783],[0.00130859],[0.97963684]
[36.62953001],[3.20638085],[0.03581904],[0.00129213],[0.97686617]
[23.59848163],[2.746334],[0.0385818],[0.0015005],[0.98653501]
[34.8052627],[2.98472714],[0.03830956],[0.00147643],[0.97729289]
[37.59058158],[3.05026285],[0.03784847],[0.00144261],[0.97577463]
[26.87870511],[2.85850639],[0.03633964],[0.00132989],[0.98426183]
[49.35211396],[3.13313945],[0.03839317],[0.00148461],[0.97535395]
[34.17112785],[3.0234358],[0.03619691],[0.00131848],[0.98081821]
[45.13239909],[3.23474894],[0.03570729],[0.00128387],[0.97569118]
[33.41195401],[2.97032083],[0.03683562],[0.00136573],[0.97833428]
[67.75016384],[4.37802892],[0.03079897],[0.00095573],[0.98064504]
[64.37157958],[4.26520141],[0.03403798],[0.00116421],[0.97845244]
[60.69075924],[4.1668737],[0.03171717],[0.00101156],[0.98369947]
[71.0664008],[4.38983825],[0.03163936],[0.00100583],[0.98197667]
[97.64622305],[4.96922166],[0.03517852],[0.00124216],[0.98265053]
[92.42090056],[4.70430773],[0.05147721],[0.00266029],[0.9774905]
[79.40463327],[4.51346602],[0.05303013],[0.00282194],[0.9833006]
[88.70269403],[4.72208989],[0.06147191],[0.00378683],[0.98099302]
[83.68636668],[4.60478009],[0.06168612],[0.00381507],[0.98296917]
[105.24749008],[4.84477869],[0.11837894],[0.01402104],[0.98501288]
[105.82988546],[4.83407411],[0.12388782],[0.01535551],[0.98532615]
[88.22473035],[4.73476105],[0.04016832],[0.00161887],[0.9783864]
[76.24907521],[4.74224696],[0.04428909],[0.0019671],[0.97869935]
[63.00660761],[3.97151022],[0.04526937],[0.00206158],[0.98883558]
[55.96171613],[3.78257937],[0.03907348],[0.00153853],[0.98671874]
[77.77860846],[4.41608961],[0.03406312],[0.0011715],[0.97500178]
[73.14268081],[4.42966413],[0.03276309],[0.00108218],[0.98348717]
[57.86542292],[3.8671318],[0.03661775],[0.00135317],[0.98117785]
[49.79437053],[3.47371049],[0.04162996],[0.0017462],[0.98680354]
[52.75300156],[3.7059408],[0.03943786],[0.00156664],[0.98872965]
[54.69148096],[3.77982993],[0.03821256],[0.00146998],[0.98826865]
[74.75932605],[4.31904937],[0.04009343],[0.00161772],[0.98417969]
[67.72298938],[3.97805692],[0.04033784],[0.00163912],[0.9748441]
[66.11959327],[4.02965531],[0.03848885],[0.00149336],[0.97498783]
[73.06676081],[4.2684414],[0.03777046],[0.00143808],[0.97331624]
[74.78583728],[4.15936744],[0.03997656],[0.00161002],[0.97933582]
[73.90915008],[4.27740732],[0.04581229],[0.00210848],[0.98663804]
[76.42514248],[4.3920705],[0.03496467],[0.00123314],[0.97521201]
[55.35617969],[3.86474273],[0.04033199],[0.00163874],[0.98020271]
[50.14205451],[3.81485249],[0.03508112],[0.00124164],[0.98615472]
[49.72712365],[3.70651151],[0.04032899],[0.00163595],[0.98795701]
[70.00169822],[4.54934023],[0.02672318],[0.00071892],[0.98402527]
[82.19397054],[4.70501721],[0.02582594],[0.00067118],[0.97919401]
[61.32437399],[4.36985956],[0.02444132],[0.00060168],[0.98666318]
[50.0723137],[3.86385257],[0.02836396],[0.00081094],[0.9899338]
[67.03244883],[4.38497015],[0.02648309],[0.00070632],[0.98538621]
[53.83869033],[4.00680149],[0.02665116],[0.00071585],[0.98957564]
[80.15375074],[4.80222069],[0.02595111],[0.00068046],[0.9786603]
[74.74999806],[4.58534705],[0.02488426],[0.00062433],[0.98150298]
[96.42393057],[4.85434633],[0.02783038],[0.00077966],[0.98071085]
[87.75547744],[4.74794661],[0.02586653],[0.00067341],[0.98274247]
[91.31677062],[4.74594977],[0.0250989],[0.00063538],[0.98207548]
[57.89496707],[4.16417136],[0.02742557],[0.00075744],[0.98746304]
[61.18389673],[4.11610274],[0.02602792],[0.00068214],[0.98922645]
[72.0296822],[4.46054988],[0.02699541],[0.00073366],[0.9843057]
[72.93615949],[4.43422828],[0.02794919],[0.00078604],[0.98269076]
[57.27530513],[4.08773223],[0.02542975],[0.00065133],[0.98889169]
[88.5546766],[4.79697018],[0.03005613],[0.00090994],[0.9795857]
[58.7574451],[4.0950893],[0.0275915],[0.0007668],[0.98821204]
[27.01377359],[2.86586431],[0.06099824],[0.00374161],[0.98626829]
[24.10837573],[2.79193122],[0.05567941],[0.00312041],[0.98744736]
[19.36882045],[2.32389555],[0.07443459],[0.00555942],[0.99125028]
[23.00851424],[2.66117162],[0.04726487],[0.00225094],[0.98374326]
[16.97433292],[2.39247362],[0.04590255],[0.00212031],[0.98688335]
[27.98443712],[2.8772607],[0.0513151],[0.00264824],[0.98439695]
[26.56183737],[2.53318048],[0.05055822],[0.00257161],[0.98509429]
[24.62464556],[2.48323756],[0.04874822],[0.00239088],[0.98518158]
[28.80982358],[2.89430602],[0.05487445],[0.0030305],[0.98502749]
[21.53105032],[2.6354561],[0.05773016],[0.00334779],[0.98699638]
[22.28328704],[2.69510277],[0.05664215],[0.00322186],[0.98854588]
[25.67392657],[2.94578937],[0.04435865],[0.00198045],[0.97952179]
[33.33824519],[3.15112349],[0.04297305],[0.00185964],[0.97471961]
[24.57817356],[2.66430675],[0.06474063],[0.0042047],[0.98775028]
[19.13896226],[2.58805701],[0.05701827],[0.00326289],[0.98769879]
[31.58884618],[3.14429076],[0.05306045],[0.00282464],[0.9827287]
[24.46484399],[2.68907253],[0.05816139],[0.00341107],[0.98750914]
[17.65736346],[2.53216269],[0.05021149],[0.00253693],[0.98665144]
[22.10051298],[2.5650615],[0.05993405],[0.00360685],[0.98857925]
[18.6267423],[2.3439423],[0.0659533],[0.00436792],[0.99089914]
[29.9044836],[2.9329528],[0.04103269],[0.00169587],[0.97646265]
[29.52525125],[3.16798546],[0.04376619],[0.00192875],[0.9751593]
[22.07776244],[2.70638194],[0.0553894],[0.0030871],[0.98872289]
[18.83158429],[2.56519979],[0.05361813],[0.00288896],[0.98859488]
[62.05598042],[4.35390385],[0.03164102],[0.00100951],[0.97061779]
[72.23856304],[4.66004642],[0.02973445],[0.00089171],[0.96827437]
[61.95883676],[4.21130078],[0.03189747],[0.00102514],[0.96978472]
[61.04508717],[4.13740874],[0.03249734],[0.00106401],[0.97057783]
[62.16206324],[4.2741522],[0.02987985],[0.00090062],[0.97259688]
[77.30329359],[4.5056603],[0.03063671],[0.00094572],[0.96956887]
[79.35921249],[4.89517377],[0.02950895],[0.00087801],[0.96817618]
[67.70356263],[4.65481043],[0.02984768],[0.00089677],[0.97183663]
[54.59184338],[4.12107111],[0.03401803],[0.00116692],[0.97513002]
[63.6878404],[4.35184017],[0.03082196],[0.0009574],[0.97233472]
[75.43098236],[4.97459702],[0.02648957],[0.00070719],[0.96852702]
[82.24615878],[5.08734643],[0.02669831],[0.00071826],[0.96746569]
[71.62703729],[4.58576845],[0.0289066],[0.00084157],[0.9674713]
[69.73899013],[4.48600856],[0.02920562],[0.00085928],[0.9685361]
[66.88933123],[4.44399887],[0.02890387],[0.00084137],[0.96837154]
[59.18681921],[4.31926116],[0.03120221],[0.00097981],[0.97066029]
[142.389385],[6.98814296],[0.02661066],[0.00071437],[0.98271933]
[105.3621311],[6.43700521],[0.01799491],[0.0003265],[0.98140855]
[139.20913974],[6.79035699],[0.03037874],[0.00093241],[0.98344101]
[108.02684702],[6.47745399],[0.01726564],[0.00030071],[0.98224673]
[131.4014864],[6.7671721],[0.03217894],[0.00104145],[0.98364177]
[89.14658464],[6.25744571],[0.01733514],[0.00030312],[0.98410162]
[124.35298269],[6.74699978],[0.02814974],[0.00079737],[0.9836071]
[121.19714877],[6.56603037],[0.03497324],[0.00122889],[0.98547531]
[86.72722452],[6.25995477],[0.01745693],[0.00030721],[0.98408843]
[123.37992102],[6.22755717],[0.03420687],[0.0011774],[0.98318408]
[109.66288377],[6.35154361],[0.02149348],[0.00046442],[0.98147049]
[116.53082278],[6.58650955],[0.01973173],[0.00039204],[0.98140103]
[105.39990964],[6.50394948],[0.01743883],[0.00030654],[0.98195694]
[100.7235314],[6.41346466],[0.0170915],[0.00029419],[0.98282257]
[93.8098277],[6.03824851],[0.01827233],[0.00033687],[0.98437809]
[90.30708879],[6.17929055],[0.01763676],[0.00031339],[0.98417732]
[111.76987407],[6.54103185],[0.01815256],[0.00033213],[0.9807331]
[96.1498342],[6.11029241],[0.02635763],[0.00070031],[0.98448554]
[105.57481066],[6.29632233],[0.0195031],[0.00038359],[0.98139309]
[140.26777987],[6.6624993],[0.03104958],[0.00097035],[0.98031605]
[135.60475781],[6.66991291],[0.0289025],[0.00084073],[0.98167593]
[137.03526233],[6.91202521],[0.02600918],[0.00068121],[0.98284803]
[129.24237398],[6.75157277],[0.02558461],[0.00065945],[0.98426753]
[92.03412126],[6.1434006],[0.01757122],[0.00031123],[0.9832587]
[127.54260474],[6.63997133],[0.03042248],[0.00093215],[0.98228563]
[126.5516811],[6.53690158],[0.03599038],[0.00130197],[0.98458475]
[112.24193441],[6.47500354],[0.01728537],[0.0003012],[0.98126685]
[95.5772926],[6.40678088],[0.01640221],[0.00027114],[0.9834582]
[107.17431952],[6.57982455],[0.01622696],[0.00026537],[0.98219185]
[140.09098482],[6.929327],[0.02835697],[0.00080975],[0.98279987]
[133.36335439],[6.94792983],[0.02839182],[0.00081251],[0.9833927]
[104.25685368],[6.45707654],[0.01761462],[0.00031283],[0.98206329]
[100.46378442],[6.38947824],[0.01626322],[0.00026657],[0.98272794]
[123.43421823],[6.81026303],[0.01692723],[0.00028902],[0.98125838]
[100.72055176],[6.47047668],[0.01629892],[0.00026802],[0.98370563]
[83.15329652],[6.10149081],[0.01817384],[0.00033303],[0.98424059]
[95.33914007],[6.13692231],[0.01796499],[0.00032531],[0.98248654]
[126.06042929],[6.63753759],[0.02826561],[0.00080443],[0.98452867]
[87.81300387],[6.24619559],[0.01744191],[0.00030638],[0.98466827]
[136.37111349],[6.66099361],[0.02993302],[0.00090119],[0.98192594]
[115.82668386],[6.2915017],[0.02004769],[0.00040521],[0.98078276]
[113.96615544],[6.41647082],[0.0229408],[0.00052999],[0.98120633]
[113.79808824],[6.49552013],[0.02220947],[0.00049632],[0.98132506]
[104.24804034],[6.47438995],[0.01756434],[0.00031105],[0.98214298]
[122.24957193],[6.28099461],[0.03527672],[0.0012536],[0.98351815]
[94.99974752],[6.22447496],[0.01870021],[0.00035191],[0.98327778]
[107.45300427],[6.50252009],[0.01694142],[0.00028953],[0.98164266]
[105.47748802],[6.32528644],[0.01932955],[0.00037642],[0.98142479]
[116.33245411],[6.5004122],[0.01965997],[0.00038907],[0.98158445]
[43.98222667],[4.05008557],[0.02936274],[0.00086791],[0.98092815]
[51.74102548],[4.25891155],[0.02817798],[0.00079901],[0.98051542]
[61.30696516],[4.74889453],[0.02325275],[0.00054438],[0.9824974]
[46.61228283],[4.22505694],[0.02724102],[0.00074707],[0.97993587]
[57.29370234],[4.60029876],[0.02355175],[0.00055872],[0.98345467]
[55.43299361],[4.5858118],[0.02311026],[0.00053814],[0.98304621]
[63.69804765],[4.91139201],[0.02367998],[0.00056442],[0.97925648]
[49.81251332],[4.26174975],[0.02819927],[0.00080023],[0.97992908]
[59.86746771],[4.61919863],[0.02472504],[0.00061515],[0.98119262]
[54.1149779],[4.50270415],[0.0250472],[0.00063098],[0.9821006]
[48.97109232],[4.2166983],[0.02658533],[0.00071168],[0.9816528]
[50.30710841],[4.24240765],[0.02951955],[0.00087749],[0.9767817]
[67.62995698],[4.82203676],[0.02749552],[0.0007612],[0.97337583]
[68.16757386],[4.6771197],[0.02778047],[0.0007767],[0.9725354]
[49.39023714],[4.18912012],[0.02856423],[0.00082117],[0.97925701]
[57.48314456],[4.47253746],[0.04431507],[0.0019746],[0.97660257]
[61.51894055],[4.53213738],[0.04197154],[0.00177236],[0.97396437]
[63.00915882],[4.71885245],[0.03571445],[0.00128418],[0.97361079]
[64.12241065],[4.73035504],[0.03588889],[0.00129733],[0.97295951]
[47.5472355],[4.21074363],[0.03614635],[0.00131453],[0.97970542]
[60.37117622],[4.55925214],[0.03540436],[0.00126307],[0.97380699]
[66.06022828],[4.63919875],[0.03695301],[0.00137579],[0.97356297]
[69.37878625],[4.89446743],[0.0330111],[0.00109805],[0.97133825]
[63.67739798],[4.5902924],[0.03598108],[0.00130259],[0.97414392]
[62.61763954],[4.72079516],[0.034848],[0.00122224],[0.97459414]
[62.29645638],[4.70036345],[0.03300242],[0.00109711],[0.97262561]
[57.19405058],[4.36090018],[0.03756465],[0.00141963],[0.9752697]
[55.13464877],[4.37915619],[0.03682413],[0.00136523],[0.97600813]
[55.48819079],[4.38297586],[0.03659625],[0.00134812],[0.97607172]
[71.27990126],[4.86407684],[0.03491066],[0.0012271],[0.96948322]
[54.14914154],[4.37175783],[0.03562039],[0.00127777],[0.97730855]
[66.44921306],[4.77041342],[0.03379281],[0.00114986],[0.97117571]
[66.15434265],[4.82704569],[0.03201609],[0.00103332],[0.97252006]
[61.54066893],[4.63588054],[0.03331297],[0.00111819],[0.97534065]
[69.55688063],[4.75946289],[0.03532362],[0.00125572],[0.97116793]
[110.46097371],[5.92567408],[0.03071183],[0.00095061],[0.95569097]
[137.58990987],[6.31289646],[0.02960121],[0.00088317],[0.9454615]
[122.3240939],[5.97656383],[0.02859501],[0.00082491],[0.95072123]
[46.76773845],[4.10028387],[0.03414789],[0.00117449],[0.97169215]
[44.3621024],[4.08826602],[0.03234192],[0.001054],[0.97362938]
